Date,actual,rf_pred,xgb_pred
2016-05-05,1289.0,1286.444,1283.3556
2016-05-06,1265.25,1287.2214999999999,1282.411
2016-05-09,1262.8,1290.8,1276.3723
2016-05-10,1276.85,1250.0324999999998,1264.851
2016-05-11,1279.25,1248.6854999999998,1265.1891
2016-05-12,1265.9,1279.1624999999997,1305.4323
2016-05-13,1285.75,1286.1629999999998,1292.8881
2016-05-16,1277.0,1253.5084999999997,1259.3558
2016-05-17,1272.9,1288.26,1282.9714
2016-05-18,1246.25,1280.8129999999999,1280.302
2016-05-19,1254.2,1280.7379999999998,1272.9247
2016-05-20,1245.9,1237.9050000000002,1258.8634
2016-05-23,1236.85,1242.6125000000002,1254.471
2016-05-24,1220.6,1236.7820000000006,1249.462
2016-05-25,1223.85,1238.0300000000002,1249.9011
2016-05-26,1216.25,1228.4930000000002,1250.1093
2016-05-27,1216.25,1230.468,1248.6584
2016-05-30,1212.1,1218.1775,1226.4781
2016-05-31,1214.5,1216.7355000000002,1228.2686
2016-06-01,1212.4,1213.407,1217.6438
2016-06-02,1240.5,1217.1785,1244.2479
2016-06-03,1244.0,1212.5935,1221.8219
2016-06-06,1241.0,1234.153,1235.2357
2016-06-07,1263.0,1237.1240000000003,1243.342
2016-06-08,1263.9,1240.297,1250.04
2016-06-09,1275.5,1253.9744999999998,1270.7732
2016-06-10,1280.8,1253.6074999999996,1273.4106
2016-06-13,1287.15,1282.8255,1287.7288
2016-06-14,1283.3,1289.0675,1285.5245
2016-06-15,1310.75,1288.0,1293.0566
2016-06-16,1290.7,1288.76,1295.4875
2016-06-17,1281.8,1313.1425,1309.2606
2016-06-20,1272.6,1292.8225,1290.6152
2016-06-21,1264.85,1288.2675,1291.841
2016-06-22,1262.15,1277.8564999999999,1269.0602
2016-06-23,1315.5,1254.109,1270.2186
2016-06-24,1324.55,1253.0874999999996,1270.7622
2016-06-27,1309.7,1323.59,1307.668
2016-06-28,1321.5,1329.85,1318.4648
2016-06-29,1320.75,1312.4425,1313.972
2016-06-30,1340.0,1334.495,1324.0204
2016-07-01,1350.75,1334.265,1318.8359
2016-07-04,1350.75,1338.0055,1316.196
2016-07-05,1366.25,1351.39,1318.0841
2016-07-06,1356.7,1351.8925,1331.1211
2016-07-07,1354.25,1359.475,1343.4706
2016-07-08,1357.1,1356.0875,1356.1941
2016-07-11,1342.4,1353.795,1347.7495
2016-07-12,1342.75,1355.385,1348.5378
2016-07-13,1323.6,1341.8775,1324.3658
2016-07-14,1327.0,1346.8325,1318.6271
2016-07-15,1334.7,1331.1675,1314.3657
2016-07-18,1330.9,1335.9975,1310.2776
2016-07-19,1315.9,1338.29,1328.5254
2016-07-20,1321.15,1338.9075,1315.1997
2016-07-21,1320.75,1332.39,1320.6134
2016-07-22,1313.15,1334.6925,1314.5833
2016-07-25,1323.0,1336.42,1312.0884
2016-07-26,1329.0,1329.9725,1312.3472
2016-07-27,1341.75,1336.775,1317.1118
2016-07-28,1342.0,1340.2375,1321.431
2016-07-29,1349.65,1344.085,1337.6993
2016-08-01,1363.75,1345.5265,1328.2552
2016-08-02,1358.9,1355.6325,1333.9053
2016-08-03,1362.75,1361.1225,1340.9191
2016-08-04,1340.4,1361.7175,1343.0917
2016-08-05,1336.8,1361.71,1342.585
2016-08-08,1341.0,1337.089,1337.5021
2016-08-09,1347.7,1338.2375,1334.1403
2016-08-10,1355.0,1335.88,1331.9939
2016-08-11,1352.2,1353.8175,1340.9336
2016-08-12,1339.4,1357.505,1346.3085
2016-08-15,1344.0,1352.66,1345.7563
2016-08-16,1343.35,1330.45,1341.9987
2016-08-17,1350.05,1346.4315,1333.7227
2016-08-18,1346.4,1341.68,1336.6727
2016-08-19,1335.9,1351.1925,1347.4718
2016-08-22,1342.0,1350.625,1340.3351
2016-08-23,1327.25,1333.65,1334.0692
2016-08-24,1321.3,1344.225,1341.1763
2016-08-25,1318.75,1337.0775,1328.6028
2016-08-26,1318.75,1333.02,1323.7616
2016-08-29,1318.15,1326.865,1319.3811
2016-08-30,1309.25,1328.085,1312.232
2016-08-31,1309.5,1330.54,1316.7384
2016-09-01,1324.7,1306.925,1313.1544
2016-09-02,1326.35,1309.185,1312.5413
2016-09-05,1337.25,1337.205,1320.0833
2016-09-06,1348.35,1340.9375,1316.4004
2016-09-07,1343.4,1340.55,1333.19
2016-09-08,1330.85,1355.16,1338.4845
2016-09-09,1324.6,1346.875,1333.2892
2016-09-12,1323.65,1340.6,1324.4252
2016-09-13,1321.75,1337.5225,1323.4834
2016-09-14,1310.8,1334.76,1319.7253
2016-09-15,1308.35,1334.625,1323.0652
2016-09-16,1314.85,1307.045,1312.5476
2016-09-19,1313.8,1304.565,1310.3541
2016-09-20,1326.1,1329.6025,1299.4695
2016-09-21,1339.1,1326.34,1315.9144
2016-09-22,1338.65,1338.4875,1308.3043
2016-09-23,1340.5,1342.4475,1340.7496
2016-09-26,1327.0,1340.62,1331.9565
2016-09-27,1322.5,1339.81,1329.5403
2016-09-28,1318.1,1338.9725,1325.4633
2016-09-29,1322.5,1336.285,1317.949
2016-09-30,1313.3,1331.03,1316.4413
2016-10-03,1283.3,1333.6825,1306.9161
2016-10-04,1269.4,1325.6925,1314.0105
2016-10-05,1254.5,1291.7975,1293.295
2016-10-06,1258.75,1285.1689999999999,1278.3263
2016-10-07,1259.5,1243.365,1266.4908
2016-10-10,1253.45,1259.9585,1257.3553
2016-10-11,1256.5,1262.3529999999998,1263.549
2016-10-12,1261.05,1243.618,1267.108
2016-10-13,1251.75,1259.9064999999996,1263.0962
2016-10-14,1254.8,1259.0194999999999,1276.5267
2016-10-17,1258.2,1242.246,1247.7247
2016-10-18,1269.05,1243.1505000000002,1251.0835
2016-10-19,1271.65,1258.1694999999997,1255.1357
2016-10-20,1266.05,1277.7219999999998,1263.137
2016-10-21,1265.55,1281.6665,1266.7927
2016-10-24,1269.4,1258.4434999999999,1260.0428
2016-10-25,1270.5,1258.3664999999999,1259.0112
2016-10-26,1266.25,1281.5504999999998,1267.4182
2016-10-27,1273.0,1283.0315,1263.5745
2016-10-28,1272.0,1258.0974999999996,1260.9803
2016-10-31,1288.45,1283.0439999999999,1261.1844
2016-11-01,1303.75,1280.8964999999998,1263.3536
2016-11-02,1301.0,1288.25,1286.585
2016-11-03,1302.8,1302.3925,1300.5405
2016-11-04,1283.05,1299.4675,1299.3767
2016-11-07,1282.35,1299.945,1295.9487
2016-11-08,1281.4,1287.42,1283.3346
2016-11-09,1267.5,1289.49,1282.7386
2016-11-10,1236.45,1289.51,1285.083
2016-11-11,1213.6,1271.5014999999999,1267.8671
2016-11-14,1226.95,1237.6019999999999,1246.9452
2016-11-15,1229.2,1218.9395000000002,1233.6998
2016-11-16,1226.75,1235.4695000000002,1252.0012
2016-11-17,1211.0,1232.0655000000002,1240.9092
2016-11-18,1214.25,1228.9225000000001,1235.064
2016-11-21,1212.25,1211.4075000000003,1203.045
2016-11-22,1185.35,1213.652,1211.4442
2016-11-23,1186.1,1210.5000000000002,1200.8091
2016-11-24,1187.7,1191.6395000000002,1192.8003
2016-11-25,1187.0,1200.6075,1211.5302
2016-11-28,1186.55,1202.664,1209.26
2016-11-29,1178.1,1202.3754999999999,1209.8002
2016-11-30,1161.85,1202.1535000000001,1209.6184
2016-12-01,1173.5,1182.0875000000003,1181.039
2016-12-02,1162.2,1170.6039999999998,1170.5852
2016-12-05,1172.5,1184.493,1181.9352
2016-12-06,1177.65,1168.3124999999998,1185.0319
2016-12-07,1171.05,1182.984,1194.6399
2016-12-08,1163.6,1185.2830000000001,1195.5104
2016-12-09,1156.1,1179.4734999999998,1186.4401
2016-12-12,1158.55,1169.301,1171.5137
2016-12-13,1162.25,1166.015,1167.218
2016-12-14,1126.95,1167.1145000000001,1169.169
2016-12-15,1131.6,1171.7785,1159.6099
2016-12-16,1136.25,1140.58,1130.8121
2016-12-19,1125.7,1139.7365000000002,1132.0746
2016-12-20,1133.65,1140.6765000000005,1127.3087
2016-12-21,1131.35,1137.6170000000002,1136.0686
2016-12-22,1131.35,1139.5315,1131.4393
2016-12-23,1131.35,1138.0344999999998,1135.1227
2016-12-26,1131.35,1138.4815,1139.9794
2016-12-27,1134.6,1139.345,1133.5151
2016-12-28,1145.9,1139.5075000000002,1138.2496
2016-12-29,1145.9,1140.583,1138.1455
2016-12-30,1145.9,1155.1385,1149.0111
2017-01-02,1151.0,1153.3325000000004,1158.8129
2017-01-03,1164.25,1153.4005000000004,1149.4078
2017-01-04,1176.7,1167.492,1141.9255
2017-01-05,1175.85,1179.6594999999995,1170.8807
2017-01-06,1178.5,1191.6029999999998,1185.7455
2017-01-09,1189.5,1192.534,1173.4109
2017-01-10,1178.55,1192.9055,1180.2029
2017-01-11,1205.05,1206.0690000000002,1202.2345
2017-01-12,1190.35,1191.2855,1188.8583
2017-01-13,1203.0,1208.672,1203.2617
2017-01-16,1216.05,1204.8574999999998,1196.218
2017-01-17,1214.75,1209.997,1202.5278
2017-01-18,1196.05,1218.5260000000003,1220.3271
2017-01-19,1200.55,1219.8590000000004,1216.9553
2017-01-20,1212.85,1210.3850000000002,1211.0695
2017-01-23,1216.8,1209.8785000000003,1201.3757
2017-01-24,1195.0,1219.9270000000004,1207.3805
2017-01-25,1189.7,1220.4005000000004,1225.4955
